Perturbation_Level,Method,ATS,SC2D,SD2
0.6,RS,0.9676203876833346,0.7540311412684669,1.0
0.6,RR,0.6625621220575076,0.7129571892335057,0.3277483067810111
0.6,ER,0.9581180759294895,0.6735049266395983,0.2500000000000001
0.6,ED,0.9811019514607204,0.7074553063538439,0.17180710676861088
0.6,RS,0.9388943327385277,0.6354134609108755,1.0
0.6,RR,0.5830373535102638,0.6088939288601078,0.1359315606551762
0.6,ER,0.9831919735297561,0.6014291657245536,0.16813146297875603
0.6,ED,0.9999028639151499,0.5730939958602597,0.10475214113948639
0.6,RS,0.9999120011925697,1.0,1.0
0.6,RR,0.7426355444295041,1.0,1.0
0.6,ER,0.9998844787478447,1.0,0.7777777777777778
0.6,ED,0.99993035197258,1.0,0.6381837965059187
0.6,RS,0.9526883785827553,0.6121171281742419,1.0
0.6,RR,0.5494124209529444,0.5849839989944716,0.10668090413254794
0.6,ER,0.9679073951183221,0.54798725600521,0.1670010705752082
0.6,ED,0.9847223657242795,0.5287233381403359,0.09820681981036006
0.8,RS,0.9333913785558858,0.7468818884915058,1.0
0.8,RR,0.4707019412131103,0.7255381221460082,0.2502536110526261
0.8,ER,0.9318765103196104,0.7097187184478417,0.22112882857217253
0.8,ED,0.9997962017854055,0.683712500011443,0.13165315466734018
0.8,RS,0.9732859381608585,0.7581245724572495,1.0
0.8,RR,0.532876800267499,0.694751799941483,0.3277483067810111
0.8,ER,0.9599154545371436,0.7215360223724345,0.23565703235770707
0.8,ED,0.9959651500948014,0.6640338568140721,0.17137792688542697
0.8,RS,0.9523168933039869,0.6290317101961165,1.0
0.8,RR,0.4691755998825329,0.568240327919562,0.1359315606551762
0.8,ER,0.9702236669220667,0.5869060480604477,0.13468101692362477
0.8,ED,0.9999258701617901,0.5638769788170929,0.0888256844463009
0.8,RS,0.9999163299798965,1.0,1.0
0.8,RR,0.7438578312285244,1.0,1.0
0.8,ER,0.9997086599469185,1.0,0.7407807395469246
0.8,ED,0.9999193549156189,1.0,0.5550055679356352
0.8,RS,0.9367361709109356,0.6521116641253186,1.0
0.8,RR,0.4791404613049683,0.5607189752607754,0.10668090413254794
0.8,ER,0.9591739896016244,0.5506895232615641,0.14073139495560916
0.8,ED,0.9615595638751984,0.5373800270388513,0.07706152722033066
1.0,RS,0.9388640332189122,0.7414298990414174,1.0
1.0,RR,0.42206607816898817,0.7243158487988297,0.2897518687395816
1.0,ER,0.9303757203742862,0.6958384417146103,0.19830487378894057
1.0,ED,0.0,0.683712500011443,0.1001217580086019
1.0,RS,0.9496013456163813,0.7546374258880089,1.0
1.0,RR,0.4623093836978928,0.6966685588714692,0.5530919383221078
1.0,ER,0.941047776043529,0.6947045144865134,0.17801961379163767
1.0,ED,0.0,0.6837457209431088,0.10113069765789218
1.0,RS,0.9603903372153582,0.6215414634889954,1.0
1.0,RR,0.4071906489364636,0.5856437601102292,0.1070309224828625
1.0,ER,0.9739793256107987,0.5556492723038593,0.12228312307938516
1.0,ED,0.0,0.5638769788170929,0.06534902408638676
1.0,RS,0.999908983707428,1.0,1.0
1.0,RR,0.6648766007911036,1.0,0.6562872921329386
1.0,ER,0.9998642951250076,1.0,0.7122197591896748
1.0,ED,0.0,1.0,0.43303027798233606
1.0,RS,0.9203157808684393,0.6203736608185173,1.0
1.0,RR,0.3660901219709325,0.5417384661310696,0.11526133330383626
1.0,ER,0.9301373295358613,0.5490968440454609,0.12321069197951007
1.0,ED,0.0,0.5287233381403359,0.06115507435621437
